,Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
44046,VEH,7SAYGDEE3PA105203,PAS,OAKLAND GDNS,NY,11364,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,12/06/2023,01/28/2026,WH,N,N,N
44048,VEH,7SAYGDEE3PA104892,PAS,WHITESTONE,NY,11357,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,04/22/2023,04/21/2025,GY,N,N,N
44050,VEH,7SAYGDEE3PA104729,PAS,FLUSHING,NY,11358,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,04/26/2023,04/25/2025,WH,N,N,N
44061,VEH,7SAYGDEE3PA103077,PAS,COLLEGE POINT,NY,11356,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,04/24/2023,04/23/2025,WH,N,N,N
44069,VEH,7SAYGDEE3PA099869,PAS,STATEN ISLAND,NY,10305,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,06/04/2024,07/27/2026,BK,N,N,N
44071,VEH,7SAYGDEE3PA099466,PAS,FLUSHING,NY,11355,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,04/16/2023,04/15/2025,BL,N,N,N
44076,VEH,7SAYGDEE3PA096678,PAS,BROOKLYN,NY,11229,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,04/15/2023,04/14/2025,WH,N,N,N
44120,VEH,7SAYGDEE3PA071814,PAS,BROOKLYN,NY,11217,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,03/28/2023,03/27/2025,GY,N,N,N
44122,VEH,7SAYGDEE3PA071361,PAS,AMITYVILLE,NY,11701,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,05/22/2023,03/31/2025,WH,N,N,N
44123,VEH,7SAYGDEE3PA070226,PAS,STATEN ISLAND,NY,10304,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4356.0,,,05/20/2023,05/19/2025,BK,N,N,N
44125,VEH,7SAYGDEE3PA069366,PAS,FLUSHING,NY,11355,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,02/22/2023,02/21/2025,WH,N,N,N
44128,VEH,7SAYGDEE3PA068931,PAS,FLORAL PARK,NY,11004,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4416.0,,,02/24/2023,02/23/2025,WH,N,N,N
44129,VEH,7SAYGDEE3PA068606,PAS,MASPETH,NY,11378,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,11/10/2023,03/02/2025,BK,N,N,N
44140,VEH,7SAYGDEE3PA062837,PAS,ELMHURST,NY,11373,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,04/21/2023,02/11/2025,WH,N,N,N
44142,VEH,7SAYGDEE3PA061753,PAS,BAYSIDE,NY,11360,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,02/02/2023,11/20/2024,GY,N,N,N
44144,VEH,7SAYGDEE3PA061199,PAS,STATEN ISLAND,NY,10303,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,04/30/2024,07/03/2025,WH,N,N,N
44145,VEH,7SAYGDEE3PA060487,PAS,OAKLAND GDNS,NY,11364,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,02/04/2023,02/03/2025,BL,N,N,N
44147,VEH,7SAYGDEE3PA059422,PAS,ELMHURST,NY,11373,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,07/25/2024,10/15/2026,GY,N,N,N
44153,VEH,7SAYGDEE3PA053281,PAS,OAKLAND GDNS,NY,11364,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,01/21/2023,01/20/2025,WH,N,N,N
44154,VEH,7SAYGDEE3PA053197,PAS,JAMAICA,NY,11434,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,3250.0,,,07/31/2024,11/30/2025,WH,N,Y,N
44155,VEH,7SAYGDEE3PA053006,PAS,BELLEROSE,NY,11426,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,07/31/2024,08/19/2026,WH,N,N,N
44157,VEH,7SAYGDEE3PA051689,PAS,FRESH MEADOWS,NY,11365,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,07/06/2024,07/13/2026,BL,N,N,N
44161,VEH,7SAYGDEE3PA047366,PAS,BROOKLYN,NY,11201,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,01/22/2023,01/21/2025,GY,N,N,N
44163,VEH,7SAYGDEE3PA045455,PAS,STATEN ISLAND,NY,10312,RICHMOND,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,05/21/2024,07/09/2026,BK,N,N,N
44169,VEH,7SAYGDEE3PA042877,PAS,FLUSHING,NY,11358,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,12/30/2022,12/31/2024,BK,N,N,N
44177,VEH,7SAYGDEE3PA041373,PAS,BROOKLYN,NY,11209,KINGS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,12/27/2022,12/26/2024,GY,N,N,N
44178,VEH,7SAYGDEE3PA040255,PAS,QUEENS VILLAGE,NY,11427,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,12/24/2022,12/23/2024,GY,N,N,N
44179,VEH,7SAYGDEE3PA040126,PAS,BELLEROSE,NY,11426,QUEENS,2023.0,TESLA,SUBN,ELECTRIC,4364.0,,,12/28/2022,12/27/2024,WH,N,N,N
